Sean Abbott,2,2,5,57,0,0,0,11.4,0,0,0,SA Abbott,3
VS Yeligati,2,2,5,59,0,0,0,11.8,0,0,0,VS Yeligati,3
RA Shaikh,1,1,1,11,0,0,0,11,0,0,0,RA Shaikh,3
Mithun Manhas,55,3,7,42,0,0,0,6,0,0,0,M Manhas,3
Swapnil Singh,1,1,3,29,0,0,0,9.66,0,0,0,Swapnil Singh,3
Sachin Rana,11,3,2.4,18,0,0,0,6.75,0,0,0,S Rana,3
Suryakumar Yadav,45,1,1,8,0,0,0,8,0,0,0,SA Yadav,3
RR Bose,1,1,2,24,0,0,0,12,0,0,0,RR Bose,3
Nathan McCullum,2,2,5,34,0,0,0,6.8,0,0,0,NL McCullum,3
Kane Williamson,8,1,1,7,0,0,0,7,0,0,0,KS Williamson,3
Krishnakant Upadhyay,3,3,9,81,0,0,0,9,0,0,0,K Upadhyay,3
Sachin Tendulkar,78,4,6,58,0,0,0,9.66,0,0,0,SR Tendulkar,3
Sachin Baby,15,2,1.4,8,2,0,4,4.8,5,0,0,Sachin Baby,3
Deepak Chahar,2,2,5,41,0,0,0,8.2,0,0,0,DL Chahar,3
Y Gnaneswara Rao,2,1,1,7,0,0,0,7,0,0,0,Y Gnaneswara Rao,3
Kemar Roach,2,2,8,80,0,0,0,10,0,0,0,KAJ Roach,3
Nathan Rimmington,1,1,3,19,0,0,0,6.33,0,0,0,NJ Rimmington,3
