,bat_cluster,bowl_cluster,zero,one,two,three,four,six,no_of_balls
1,0,0,0.3581213307,0.4246575342,0.0626223092,0.0039138943,0.1135029354,0.0352250489,511
2,0,2,0.4149659864,0.3401360544,0.074829932,0.0136054422,0.1088435374,0.0476190476,147
3,0,3,0.4285714286,0.4285714286,0,0,0.1428571429,0,7
4,0,4,0.4523809524,0.4285714286,0.0238095238,0,0.0238095238,0.0714285714,42
5,0,5,0.4423076923,0.4038461538,0.0384615385,0.0192307692,0.0769230769,0.0192307692,52
6,0,6,0,0.5,0,0,0,0.5,4
7,0,7,0.3846153846,0.3846153846,0.0769230769,0,0.0769230769,0.0769230769,13
8,0,8,0.4455445545,0.3531353135,0.0660066007,0.004950495,0.0891089109,0.0412541254,606
9,0,9,0.3507853403,0.4136125654,0.0785340314,0,0.1204188482,0.0366492147,191
10,0,10,0.4307417337,0.3780160858,0.0652368186,0.000894,0.0938337802,0.0294906166,1119
11,0,11,0.5294117647,0.4117647059,0.0588235294,0,0,0,17
12,1,0,0.3128964059,0.4372093023,0.0718816068,0.0029598309,0.1196617336,0.0520084567,2365
13,1,1,0.3333333333,0.1666666667,0.0833333333,0,0.1666666667,0.1666666667,12
14,1,2,0.2922885572,0.4825870647,0.0721393035,0.0087064677,0.0957711443,0.0472636816,804
15,1,3,0.2962962963,0.3827160494,0.0617283951,0,0.1975308642,0.0617283951,81
16,1,4,0.285,0.445,0.075,0,0.12,0.075,200
17,1,5,0.3055555556,0.4722222222,0.0555555556,0,0.1111111111,0.0555555556,36
18,1,6,0,0.4444444444,0.1111111111,0,0.1111111111,0.3333333333,9
19,1,7,0.1780821918,0.5342465753,0.0684931507,0,0.1643835616,0.0273972603,73
20,1,8,0.3710567823,0.3813091483,0.072555205,0.0031545741,0.1348580442,0.035488959,2536
21,1,9,0.3547297297,0.4087837838,0.0551801802,0.0056306306,0.1261261261,0.0439189189,888
22,1,10,0.3503035965,0.4042503503,0.0665576833,0.0067725362,0.1261092947,0.0448388603,4282
23,1,11,0.2654867257,0.4601769912,0.1238938053,0,0.1150442478,0.0353982301,113
24,2,0,0.3446502058,0.4218106996,0.0637860082,0.0041152263,0.1234567901,0.0401234568,972
