"Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","hundreds","fiftys","fours","sixes","CLUSTER"
"LA Carseldine","5","5","1","81","39","20.25","68","119.11","0","0","11","0","0","LA Carseldine"
"Robin Peterson","5","5","2","32","16","10.66","30","106.66","0","0","3","1","0","RJ Peterson"
"Arindam Ghosh","2","2","0","7","7","3.5","8","87.5","0","0","1","0","0","AN Ghosh"
"GR Napier","1","1","0","15","15","15","16","93.75","0","0","1","0","0","GR Napier"
"Sreenath Aravind","28","4","4","27","14","0","17","158.82","0","0","5","0","0","S Aravind"
"Vikramjeet Malik","13","2","1","7","6","7","7","100","0","0","1","0","0","VS Malik"
"Abhinav Mukund","3","2","0","19","19","9.5","22","86.36","0","0","1","0","0","A Mukund"
"LPC Silva","3","3","1","40","23","20","26","153.84","0","0","5","1","0","LPC Silva"
"Mohammad Hafeez","8","3","1","20","13","10","22","90.9","0","0","2","1","0","Mohammad Hafeez"
"Joginder Sharma","16","6","2","36","16","9","30","120","0","0","1","2","0","Joginder Sharma"
"Sean Abbott","2","2","0","15","14","7.5","13","115.38","0","0","1","1","0","SA Abbott"
"RS Sodhi","3","1","1","4","4","0","2","200","0","0","1","0","0","RS Sodhi"
"Colin Munro","4","3","0","30","16","10","30","100","0","0","3","0","0","C Munro"
"Adrian Barath","3","3","1","42","33","21","42","100","0","0","5","1","0","AB Barath"
"J Arunkumar","3","3","0","23","22","7.66","23","100","0","0","5","0","0","J Arunkumar"
"Brad Haddin","1","1","0","18","18","18","11","163.63","0","0","2","1","0","BJ Haddin"
"Asad Pathan","8","7","2","39","14","7.8","23","169.56","0","0","5","2","0","AUK Pathan"
"Rahul Shukla","7","4","3","19","14","19","23","82.6","0","0","2","0","0","R Shukla"
"Darren Lehmann","2","2","0","18","17","9","18","100","0","0","3","0","0","DS Lehmann"
"Harshal Patel","35","14","5","47","10","5.22","34","138.23","0","0","2","3","0","HV Patel"
"Amit Yadav","8","6","1","49","16","9.8","39","125.64","0","0","5","2","0","AS Yadav"
"Juan Theron","10","4","2","10","7","5","12","83.33","0","0","1","0","0","J Theron"
"P Parameswaran","5","1","1","1","1","0","1","100","0","0","0","0","0","P Parameswaran"
"Abhimanyu Mithun","16","8","3","34","11","6.8","26","130.76","0","0","4","1","0","A Mithun"
"Doug Bollinger","27","4","3","21","16","21","23","91.3","0","0","1","1","0","DE Bollinger"
"Ishank Jaggi","5","5","1","43","25","10.75","58","74.13","0","0","3","0","0","IR Jaggi"
"SS Shaikh","2","1","0","6","6","6","7","85.71","0","0","1","0","0","SS Shaikh"
"Sumit Narwal","7","4","1","37","23","12.33","27","137.03","0","0","6","0","0","S Narwal"
"Doug Bracewell","1","1","1","12","12","0","9","133.33","0","0","1","0","0","DAJ Bracewell"
"VS Yeligati","2","1","0","2","2","2","2","100","0","0","0","0","0","VS Yeligati"
"Rahul Tewatia","4","1","0","16","16","16","13","123.07","0","0","0","1","0","R Tewatia"
"Damien Martyn","1","1","0","19","19","19","24","79.16","0","0","1","0","0","DR Martyn"
"Ankeet Chavan","13","3","1","12","7","6","11","109.09","0","0","2","0","0","AA Chavan"
"Siddharth Trivedi","76","15","8","42","9","6","59","71.18","0","0","3","1","0","SK Trivedi"
"Mashrafe Mortaza","1","1","1","2","2","0","2","100","0","0","0","0","0","Mashrafe Mortaza"
"Nic Maddinson","3","3","0","20","12","6.66","21","95.23","0","0","4","0","0","NJ Maddinson"
"Kevon Cooper","25","14","5","116","32","12.88","68","170.58","0","0","9","8","0","KK Cooper"
"Anustup Majumdar","4","4","0","87","31","21.75","76","114.47","0","0","7","2","0","AP Majumdar"
"Lakshmipathy Balaji","73","15","7","36","15","4.5","49","73.46","0","0","2","1","0","L Balaji"
"MA Khote","4","3","1","24","9","12","22","109.09","0","0","2","1","0","MA Khote"
"Bodapati Sumanth","5","4","3","35","16","35","37","94.59","0","0","3","0","0","B Sumanth"
"DT Patil","2","2","0","13","9","6.5","13","100","0","0","1","0","0","DT Patil"
"Raiphi Gomez","13","9","4","50","26","10","51","98.03","0","0","5","1","0","RV Gomez"
"Tim Southee","26","8","3","47","25","9.4","32","146.87","0","0","3","2","0","TG Southee"
"Bhargav Bhatt","17","2","1","6","6","6","7","85.71","0","0","0","1","0","BA Bhatt"
"SB Bangar","12","8","1","49","17","7","58","84.48","0","0","1","3","0","SB Bangar"
"I Malhotra","1","1","1","7","7","0","4","175","0","0","1","0","0","I Malhotra"
"Luke Wright","7","6","1","106","44","21.2","60","176.66","0","0","16","3","0","LJ Wright"
"Ben Dunk","3","3","0","40","20","13.33","35","114.28","0","0","7","0","0","BR Dunk"
"S Sriram","2","2","0","31","27","15.5","36","86.11","0","0","3","0","0","S Sriram"
"Sachin Rana","11","8","4","91","19","22.75","81","112.34","0","0","9","1","0","S Rana"
"Vijay Zol","3","2","0","29","16","14.5","26","111.53","0","0","3","1","0","VH Zol"
"Jagadeesha Suchith","14","6","5","48","34","48","32","150","0","0","4","2","0","J Suchith"
"Parveez Rasool","11","5","3","17","10","8.5","20","85","0","0","1","0","0","Parvez Rasool"
"Sunil Narine","66","18","11","47","13","6.71","54","87.03","0","0","2","2","0","SP Narine"
"RR Raje","10","5","4","20","11","20","18","111.11","0","0","1","1","0","RR Raje"
"Kyle Abbott","5","3","2","13","12","13","8","162.5","0","0","0","1","0","KJ Abbott"
"Sam Billings","5","4","0","88","54","22","64","137.5","0","1","4","4","0","SW Billings"
"Sunny Singh","6","5","1","43","20","10.75","31","138.7","0","0","6","1","0","Sunny Singh","Swapnil Singh"
"Nikhil Naik","2","2","0","23","22","11.5","31","74.19","0","0","1","0","0","NS Naik"
"Ankit Sharma","20","9","3","62","30","10.33","52","119.23","0","0","5","3","0","Ankit Sharma"
"WA Mota","12","8","2","56","25","9.33","75","74.66","0","0","2","0","0","WA Mota"
"Mahesh Rawat","18","12","7","55","23","11","69","79.71","0","0","4","1","0","M Rawat"
"Pradeep Sahu","5","2","1","19","18","19","13","146.15","0","0","1","1","0","P Sahu"
"Aakash Chopra","7","6","0","53","24","8.83","71","74.64","0","0","7","0","0","A Chopra"
"Ben Cutting","5","5","2","73","39","24.33","40","182.5","0","0","4","7","0","BCJ Cutting"
"Balachandra Akhil","15","11","5","76","27","12.66","55","138.18","0","0","5","5","0","B Akhil"
"Amit Paunikar","5","5","0","49","20","9.8","58","84.48","0","0","9","0","0","AG Paunikar"
"Mitchell McClenaghan","26","8","4","47","20","11.75","29","162.06","0","0","2","5","0","MJ McClenaghan"
"KC Cariappa","6","2","1","13","12","13","11","118.18","0","0","0","1","0","KC Cariappa"
"Ashish Nehra","82","20","13","41","22","5.85","62","66.12","0","0","3","1","0","A Nehra"
"Nathan McCullum","2","2","1","26","15","26","22","118.18","0","0","0","1","0","NL McCullum"
"Umesh Yadav","80","21","14","84","24","12","77","109.09","0","0","8","3","0","UT Yadav"
"Ishant Sharma","70","19","15","37","9","9.25","46","80.43","0","0","2","1","0","I Sharma"
"Shoaib Malik","7","5","1","52","24","13","47","110.63","0","0","5","0","0","Shoaib Malik"
"Carlos Brathwaite","8","6","0","83","34","13.83","38","218.42","0","0","6","8","0","CR Brathwaite"
"Sohail Tanvir","11","5","2","36","13","12","29","124.13","0","0","3","1","0","Sohail Tanvir"
"DNT Zoysa","3","2","1","11","10","11","9","122.22","0","0","1","0","0","DNT Zoysa"
"C Madan","1","1","0","15","15","15","19","78.94","0","0","3","0","0","C Madan"
"Krishnakant Upadhyay","3","2","2","12","11","0","9","133.33","0","0","0","1","0","K Upadhyay"
"Colin Ingram","3","3","1","21","13","10.5","26","80.76","0","0","2","0","0","CA Ingram"
"Anirudh Singh","5","4","0","63","40","15.75","66","95.45","0","0","6","1","0","Anureet Singh","Anirudh Singh","A Singh"
"Umar Gul","6","4","1","39","24","13","19","205.26","0","0","1","5","0","Umar Gul"
"Nathan Coulter0Nile","18","10","4","38","9","6.33","38","100","0","0","3","2","0"
"Shadab Jakati","57","8","7","28","13","28","29","96.55","0","0","3","0","0","SB Jakati"
"Luke Ronchi","5","5","0","34","13","6.8","34","100","0","0","6","1","0","L Ronchi"
"Kane Richardson","14","4","1","36","26","12","39","92.3","0","0","2","1","0","KW Richardson"
"Farhaan Behardien","3","3","1","14","9","7","13","107.69","0","0","2","0","0","F Behardien"
"Munaf Patel","61","14","9","39","23","7.8","40","97.5","0","0","5","0","0","MM Patel"
"Tatenda Taibu","3","3","0","31","15","10.33","26","119.23","0","0","3","0","0","T Taibu"
"Aditya Dole","3","2","0","34","30","17","22","154.54","0","0","3","1","0","AP Dole"
"Jimmy Neesham","4","3","0","42","22","14","46","91.3","0","0","3","1","0","JDS Neesham"
"Shaun Tait","21","5","2","23","11","7.66","26","88.46","0","0","1","1","0","SW Tait"
"RP Singh","82","30","15","52","10","3.46","76","68.42","0","0","2","1","0","RP Singh"
"Travis Birt","5","5","0","75","27","15","58","129.31","0","0","9","2","0","TR Birt"
"Alfonso Thomas","15","4","2","20","12","10","19","105.26","0","0","1","1","0","AC Thomas"
"Manpreet Gony","43","17","7","99","42","9.9","71","139.43","0","0","6","8","0","MS Gony"
"Shardul Thakur","1","1","1","7","7","0","6","116.66","0","0","1","0","0","SN Thakur"
"Iqbal Abdulla","47","12","10","83","33","41.5","77","107.79","0","0","9","1","0","Iqbal Abdulla"
"Charl Langeveldt","7","2","0","8","8","4","9","88.88","0","0","0","1","0","CK Langeveldt"
"Eklavya Dwivedi","4","2","0","24","19","12","14","171.42","0","0","2","2","0","ER Dwivedi"
"DP Vijaykumar","9","2","2","1","1","0","1","100","0","0","0","0","0","DP Vijaykumar"
"Ronit More","2","1","1","2","2","0","2","100","0","0","0","0","0","RG More"
"Ashley Noffke","1","1","0","9","9","9","10","90","0","0","1","0","0","AA Noffke"
"Barinder Sran","15","4","4","4","2","0","4","100","0","0","0","0","0","BB Sran"
"Richard Levi","6","6","0","83","50","13.83","73","113.69","0","1","10","4","0","RE Levi"
"Anil Kumble","42","17","14","35","8","11.66","47","74.46","0","0","3","0","0","A Kumble"
"JM Kemp","5","2","0","26","22","13","24","108.33","0","0","1","1","0","JM Kemp"
"Jason Holder","11","5","0","38","16","7.6","31","122.58","0","0","4","2","0","JO Holder"
"Travis Head","3","3","1","54","37","27","40","135","0","0","3","2","0","TM Head"
"Y Gnaneswara Rao","2","1","0","19","19","19","17","111.76","0","0","3","0","0","Y Venugopal Rao","Y Gnaneswara Rao"
"Ishan Kishan","5","5","0","42","27","8.4","41","102.43","0","0","5","0","0","Ishan Kishan"
"Kemar Roach","2","1","0","10","10","10","9","111.11","0","0","1","0","0","KAJ Roach"
"R Bishnoi","3","3","0","19","18","6.33","17","111.76","0","0","1","2","0","R Bishnoi"
"Shalabh Srivastava","14","4","3","5","3","5","5","100","0","0","0","0","0","SJ Srivastava"
"VRV Singh","19","2","0","4","4","2","3","133.33","0","0","1","0","0","V Pratap Singh","VRV Singh"
"Michael Klinger","4","4","0","73","29","18.25","77","94.8","0","0","9","0","0","M Klinger"
"Mohit Sharma","61","15","7","61","21","7.62","52","117.3","0","0","4","3","0","MM Sharma"
"Shivnarine Chanderpaul","3","3","0","25","16","8.33","31","80.64","0","0","4","0","0","S Chanderpaul"
"Varun Aaron","36","8","5","42","17","14","45","93.33","0","0","2","2","0","VR Aaron"
"Wayne Parnell","26","13","4","63","16","7","75","84","0","0","4","1","0","WD Parnell"
"Andrew Flintoff","3","3","1","62","24","31","53","116.98","0","0","5","2","0","A Flintoff"
"Dinesh Salunkhe","6","3","1","33","26","16.5","24","137.5","0","0","5","0","0","D Salunkhe"
"Dominic Thornely","6","4","2","39","30","19.5","53","73.58","0","0","2","2","0","DJ Thornely"
"Ravi Rampaul","12","7","2","51","23","10.2","50","102","0","0","3","2","0","R Rampaul"
"Martin Guptill","3","3","0","57","48","19","55","103.63","0","0","3","3","0","MJ Guptill"
"JJ van der Wath","3","3","1","18","14","9","16","112.5","0","0","1","1","0","JJ van der Wath"
"Yuzvendra Chahal","43","4","4","2","1","0","2","100","0","0","0","0","0","YS Chahal"
"Azhar Bilakhia","7","7","2","69","22","13.8","85","81.17","0","0","5","0","0","AA Bilakhia"
"Nathan Rimmington","1","1","1","1","1","0","1","100","0","0","0","0","0","NJ Rimmington"
"Rilee Rossouw","5","5","0","53","24","10.6","51","103.92","0","0","3","3","0","RR Rossouw"
"Ramesh Powar","27","10","7","67","28","22.33","64","104.68","0","0","6","1","0","RR Powar"
"Ramnaresh Sarwan","4","4","0","73","31","18.25","75","97.33","0","0","6","1","0","RR Sarwan"
"Shahid Afridi","10","9","1","81","33","10.12","46","176.08","0","0","7","6","0","Shahid Afridi"
"Chris Gayle","92","91","12","3426","175","43.36","2235","153.28","5","20","279","251","1","CH Gayle"
"David Warner","100","100","12","3373","109","38.32","2372","142.2","2","32","338","134","1","DA Warner"
"AB de Villiers","120","109","26","3257","133","39.24","2181","149.33","3","21","275","140","1","AB de Villiers"
"Ajinkya Rahane","95","89","13","2675","103","35.19","2212","120.93","1","23","285","51","1","AM Rahane"
"Jacques Kallis","98","96","11","2427","89","28.55","2222","109.22","0","17","255","44","1","JH Kallis"
"Robin Uthappa","135","130","15","3390","83","29.47","2635","128.65","0","17","341","104","1","RV Uthappa"
"Shikhar Dhawan","113","112","16","3082","95","32.1","2546","121.05","0","25","348","62","1","S Dhawan"
"MS Dhoni","143","128","45","3271","70","39.4","2354","138.95","0","16","236","140","1","MS Dhoni"
"Kevin Pietersen","36","36","9","1001","103","37.07","743","134.72","1","4","91","40","2","KP Pietersen"
"Matthew Hayden","32","32","2","1107","93","36.9","805","137.51","0","8","121","44","2","ML Hayden"
"Andrew Symonds","39","36","9","974","117","36.07","750","129.86","1","5","74","41","2","A Symonds"
"Herschelle Gibbs","36","36","4","886","69","27.68","807","109.78","0","6","83","31","2","HH Gibbs"
"Graeme Smith","29","29","3","739","91","28.42","668","110.62","0","4","94","9","2","GC Smith"
"Eoin Morgan","48","41","5","789","66","21.91","643","122.7","0","4","66","32","2","EJG Morgan"
"Lendl Simmons","22","22","2","942","100","47.1","740","127.29","1","9","99","36","2","LMP Simmons"
"Manvinder Bisla","39","39","1","798","92","21","702","113.67","0","4","93","23","2","MS Bisla"
"Mandeep Singh","59","49","4","924","77","20.53","743","124.36","0","4","113","14","2","Mandeep Singh"
"Karun Nair","41","37","4","877","83","26.57","686","127.84","0","7","96","20","2","KK Nair"
"Mayank Agarwal","50","45","2","788","68","18.32","633","124.48","0","3","79","33","2","MA Agarwal"
"Cameron White","47","45","9","954","78","26.5","755","126.35","0","6","76","36","2","CL White"
"Sanju Samson","52","48","6","1040","76","24.76","873","119.12","0","5","80","38","2","SV Samson"
"Manoj Tiwary","78","68","22","1324","75","28.78","1169","113.25","0","5","121","28","3","MK Tiwary"
"Ravindra Jadeja","126","99","31","1574","48","23.14","1297","121.35","0","0","112","53","3","RA Jadeja"
"Naman Ojha","98","88","18","1474","94","21.05","1244","118.48","0","6","119","76","3","NV Ojha"
"Kieron Pollard","106","97","29","1958","78","28.79","1323","147.99","0","9","131","125","3","KA Pollard"
"Kumar Sangakkara","71","68","3","1687","94","25.95","1392","121.19","0","10","195","27","3","KC Sangakkara"
"Dwayne Smith","64","63","3","1864","87","31.06","1411","132.1","0","15","195","92","3","DR Smith"
"Sourav Ganguly","59","56","3","1348","91","25.43","1262","106.81","0","7","137","42","3","SC Ganguly"
"Subramaniam Badrinath","95","67","20","1441","71","30.65","1212","118.89","0","11","154","28","3","S Badrinath"
"Saurabh Tiwary","80","63","19","1224","61","27.81","1024","119.53","0","6","84","45","4","SS Tiwary"
"Brad Hodge","66","63","21","1400","73","33.33","1118","125.22","0","6","122","43","4","BJ Hodge"
"Francois du Plessis","51","45","3","1287","73","30.64","1005","128.05","0","8","109","38","4","F du Plessis"
"Tillakaratne Dilshan","52","50","7","1153","76","26.81","1007","114.49","0","9","140","24","4","TM Dilshan"
"Wriddhiman Saha","90","69","18","1323","115","25.94","1004","131.77","1","5","110","49","4","WP Saha"
"Aaron Finch","52","51","5","1304","88","28.34","1049","124.3","0","11","145","40","4","AJ Finch"
"Dwayne Bravo","106","83","28","1262","70","22.94","999","126.32","0","4","102","48","4","DJ Bravo"
"Irfan Pathan","102","81","29","1137","60","21.86","943","120.57","0","1","87","37","4","IK Pathan"
"Steve Smith","54","47","13","1231","101","36.2","906","135.87","1","2","112","33","4","SPD Smith"
"David Hussey","64","61","12","1322","71","26.97","1075","122.97","0","5","90","60","4","DJ Hussey"
"David Miller","61","60","19","1480","101","36.09","1025","144.39","1","8","100","74","4","DA Miller"
"Yusuf Pathan","134","122","32","2761","100","30.67","1881","146.78","1","12","230","140","5","YK Pathan"
"Rahul Dravid","89","82","5","2174","75","28.23","1882","115.51","0","11","269","28","5","R Dravid"
"Brendon McCullum","92","92","5","2434","158","27.97","1881","129.39","2","11","248","106","5","BB McCullum"
"Sachin Tendulkar","78","78","11","2334","100","34.83","1948","119.81","1","13","295","29","5","SR Tendulkar"
"Virender Sehwag","104","104","5","2728","122","27.55","1755","155.44","2","16","334","106","5","V Sehwag"
"Yuvraj Singh","108","105","13","2335","83","25.38","1795","130.08","0","10","174","133","5","Yuvraj Singh","Yashpal Singh"
"Shane Watson","94","91","13","2551","104","32.7","1813","140.7","2","14","251","121","5","SR Watson"
"Ambati Rayudu","109","102","18","2325","81","27.67","1837","126.56","0","13","198","76","5","AT Rayudu"
"Murali Vijay","100","100","5","2511","127","26.43","2035","123.39","2","13","237","89","5","M Vijay"
"Angelo Mathews","46","40","11","692","65","23.86","548","126.27","0","1","42","28","6","AD Mathews"
"Paul Valthaty","23","23","1","505","120","22.95","418","120.81","1","2","61","20","6","PC Valthaty"
"Mithun Manhas","55","38","15","514","42","22.34","470","109.36","0","0","43","10","6","M Manhas"
"Manan Vohra","34","32","2","728","67","24.26","562","129.53","0","2","72","26","6","M Vohra"
"Tirumalasetti Suman","43","40","8","676","78","21.12","575","117.56","0","2","55","26","6","TL Suman"
"Abhishek Nayar","60","50","12","672","45","17.68","577","116.46","0","0","55","20","6","AM Nayar"
"Harbhajan Singh","125","77","30","783","64","16.65","545","143.66","0","1","76","40","6","Harbhajan Singh","Harmeet Singh","Harpreet Singh"
"Ravi Bopara","24","22","4","531","84","29.5","453","117.21","0","3","39","16","6","RS Bopara"
"Jesse Ryder","29","29","1","604","86","21.57","458","131.87","0","4","69","19","6","JD Ryder"
"Sanath Jayasuriya","30","30","2","768","114","27.42","532","144.36","1","4","84","39","6","ST Jayasuriya"
"Stuart Binny","72","51","19","688","48","21.5","528","130.3","0","0","53","26","6","STR Binny"
"Moises Henriques","45","39","11","692","74","24.71","553","125.13","0","2","59","23","6","MC Henriques"
"George Bailey","40","37","10","663","61","24.55","544","121.87","0","2","59","19","6","GJ Bailey"
"Piyush Chawla","123","68","27","513","24","12.51","447","114.76","0","0","49","15","6","PP Chawla"
"Quinton de Kock","26","26","1","726","108","29.04","549","132.24","1","5","90","21","6","Q de Kock"
"Glenn Maxwell","43","43","4","918","95","23.53","568","161.61","0","6","76","56","6","GJ Maxwell"
"Kedar Jadhav","51","44","18","626","63","24.07","476","131.51","0","2","47","23","6","KM Jadhav"
"Abhishek Jhunjhunwala","21","16","3","217","53","16.69","210","103.33","0","1","19","5","7","AA Jhunjhunwala"
"CM Gautam","13","13","3","169","33","16.9","150","112.66","0","0","17","6","7","CM Gautam"
"Misbah0ul0Haq","8","8","1","117","47","16.71","81","144.44","0","0","10","6","7"
"Ryan Harris","37","21","9","117","17","9.75","112","104.46","0","0","6","3","7","RJ Harris"
"Nitin Saini","10","10","0","140","50","14","141","99.29","0","1","16","0","7","N Saini"
"Biplap Samantray","9","8","3","125","55","25","113","110.61","0","1","13","2","7","BB Samantray"
"MF Maharoof","20","14","4","177","39","17.7","123","143.9","0","0","12","9","7","MF Maharoof"
"Dhawal Kulkarni","66","18","11","85","28","12.14","93","91.39","0","0","5","2","7","DS Kulkarni"
"Roelof van der Merwe","21","15","4","159","35","14.45","141","112.76","0","0","11","8","7","RE van der Merwe"
"Marcus Stoinis","7","5","1","146","52","36.5","108","135.18","0","1","13","4","7","MP Stoinis"
"Ashish Reddy","31","24","9","280","36","18.66","193","145.07","0","0","16","15","7","A Ashish Reddy"
"Shane Warne","55","29","9","198","34","9.9","214","92.52","0","0","14","6","7","SK Warne"
"Bipul Sharma","26","14","7","156","35","22.28","99","157.57","0","0","9","8","7","Bipul Sharma"
"Pawan Negi","29","19","7","209","36","17.41","161","129.81","0","0","16","9","7","P Negi"
"Manpreet Juneja","7","7","0","125","49","17.85","128","97.65","0","0","11","1","7","MC Juneja"
"Abhishek Raut","22","16","7","194","36","21.55","167","116.16","0","0","13","7","7","AS Raut"
"Paul Collingwood","8","7","2","203","75","40.6","156","130.12","0","3","9","13","7","PD Collingwood"
"Adam Voges","9","7","3","181","45","45.25","143","126.57","0","0","15","3","7","AC Voges"
"Srikkanth Anirudha","20","13","5","136","64","17","113","120.35","0","1","9","7","7","S Anirudha"
"Pinal Shah","16","10","2","92","29","11.5","91","101.09","0","0","9","2","7","PR Shah"
"Shaun Pollock","13","8","0","147","33","18.37","111","132.43","0","0","12","8","7","SM Pollock"
"David Wiese","15","8","4","127","47","31.75","90","141.11","0","0","12","4","7","D Wiese"
